"158","N","MARKETED (NOTIFIED)","08-JAN-2008"
"158","N","ADMINISTRATIVE CHANGE","20-FEB-2006"
"158","N","MARKETED (NOTIFIED)","31-JAN-2002"
"158","N","ADMINISTRATIVE CHANGE","03-OCT-2001"
"158","N","MARKETED (NOTIFIED)","31-DEC-1951"
"159","Y","MARKETED (NOTIFIED)","15-OCT-2009"
"159","N","ADMINISTRATIVE CHANGE","12-MAY-2009"
"159","N","MARKETED (NOTIFIED)","22-FEB-2008"
"159","N","ADMINISTRATIVE CHANGE","20-FEB-2006"
"159","N","MARKETED (NOTIFIED)","20-FEB-2002"
"159","N","ADMINISTRATIVE CHANGE","03-OCT-2001"
"159","N","MARKETED (NOTIFIED)","31-DEC-1945"
"160","Y","MARKETED (NOTIFIED)","20-AUG-2005"
"160","N","ADMINISTRATIVE CHANGE","19-AUG-2005"
"160","N","MARKETED (NOTIFIED)","29-SEP-2000"
"160","N","ADMINISTRATIVE CHANGE","19-SEP-2000"
"160","N","MARKETED (NOTIFIED)","31-DEC-1951"
"186","Y","MARKETED (NOTIFIED)","27-OCT-2004"
"186","N","ADMINISTRATIVE CHANGE","26-OCT-2004"
"186","N","MARKETED (NOTIFIED)","31-DEC-1954"
"187","Y","MARKETED (NOTIFIED)","25-SEP-2004"
"187","N","ADMINISTRATIVE CHANGE","24-SEP-2004"
"187","N","MARKETED (NOTIFIED)","31-DEC-1963"
"188","Y","MARKETED (NOTIFIED)","25-SEP-2004"
"188","N","ADMINISTRATIVE CHANGE","24-SEP-2004"
"188","N","MARKETED (NOTIFIED)","31-DEC-1963"
"193","Y","MARKETED (NOTIFIED)","21-APR-2012"
"193","N","ADMINISTRATIVE CHANGE","20-APR-2012"
"193","N","ADMINISTRATIVE CHANGE","13-SEP-2004"
"193","N","MARKETED (NOTIFIED)","31-DEC-1951"
"197","Y","MARKETED (NOTIFIED)","14-SEP-2004"
"197","N","ADMINISTRATIVE CHANGE","13-SEP-2004"
"197","N","MARKETED (NOTIFIED)","31-DEC-1953"
"198","Y","MARKETED (NOTIFIED)","18-NOV-2004"
"198","N","ADMINISTRATIVE CHANGE","17-NOV-2004"
"198","N","MARKETED (NOTIFIED)","31-DEC-1963"
"209","Y","MARKETED (NOTIFIED)","24-JUN-2002"
"209","N","ADMINISTRATIVE CHANGE","11-MAY-2000"
"209","N","MARKETED (NOTIFIED)","31-DEC-1954"
"210","Y","MARKETED (NOTIFIED)","19-MAY-2001"
"210","N","ADMINISTRATIVE CHANGE","11-MAY-2000"
"210","N","MARKETED (NOTIFIED)","31-DEC-1962"
"211","Y","MARKETED (NOTIFIED)","24-JAN-2003"
"211","N","ADMINISTRATIVE CHANGE","11-MAY-2000"
"211","N","MARKETED (NOTIFIED)","31-DEC-1954"
"212","Y","MARKETED (NOTIFIED)","07-AUG-2003"
"212","N","ADMINISTRATIVE CHANGE","11-MAY-2000"
"212","N","MARKETED (NOTIFIED)","31-DEC-1951"
"224","Y","MARKETED (NOTIFIED)","03-MAY-2007"
"224","N","ADMINISTRATIVE CHANGE","01-SEP-2004"
"224","N","MARKETED (NOTIFIED)","31-DEC-1951"
"227","Y","MARKETED (NOTIFIED)","01-DEC-2004"
"227","N","ADMINISTRATIVE CHANGE","23-APR-2004"
"227","N","MARKETED (NOTIFIED)","31-DEC-1952"
"228","Y","MARKETED (NOTIFIED)","26-SEP-2005"
"228","N","ADMINISTRATIVE CHANGE","09-JUN-2004"
"228","N","MARKETED (NOTIFIED)","31-DEC-1966"
"229","Y","MARKETED (NOTIFIED)","18-OCT-2005"
"229","N","ADMINISTRATIVE CHANGE","23-APR-2004"
"229","N","MARKETED (NOTIFIED)","31-DEC-1964"
"230","Y","MARKETED (NOTIFIED)","31-DEC-1959"
"231","Y","MARKETED (NOTIFIED)","31-DEC-1955"
"232","Y","MARKETED (NOTIFIED)","06-FEB-2003"
"232","N","ADMINISTRATIVE CHANGE","05-FEB-2003"
"232","N","MARKETED (NOTIFIED)","31-DEC-1955"
"233","Y","MARKETED (NOTIFIED)","31-DEC-1955"
"234","Y","MARKETED (NOTIFIED)","08-AUG-2005"
"234","N","ADMINISTRATIVE CHANGE","13-JAN-2003"
"234","N","MARKETED (NOTIFIED)","31-DEC-1955"
"236","Y","MARKETED (NOTIFIED)","31-DEC-1966"
"250","Y","MARKETED (NOTIFIED)","16-AUG-2013"
"250","N","NOC ISSUED","15-AUG-2013"
"250","N","ADMINISTRATIVE CHANGE","19-JUL-2013"
"250","N","NOC ISSUED","20-AUG-2009"
"250","N","ADMINISTRATIVE CHANGE","12-AUG-2009"
"250","N","MARKETED (NOTIFIED)","31-JAN-2007"
"250","N","NOC ISSUED","17-NOV-2006"
"250","N","ADMINISTRATIVE CHANGE","10-NOV-2006"
"250","N","NOC ISSUED","12-SEP-2006"
"250","N","ADMINISTRATIVE CHANGE","06-SEP-2006"
"250","N","MARKETED (NOTIFIED)","31-DEC-1963"
"254","Y","MARKETED (NOTIFIED)","31-DEC-1964"
"257","Y","MARKETED (NOTIFIED)","31-DEC-1951"
"258","Y","MARKETED (NOTIFIED)","31-DEC-1951"
"259","Y","MARKETED (NOTIFIED)","31-DEC-1963"
"260","Y","MARKETED (NOTIFIED)","31-DEC-1951"
"274","Y","MARKETED (NOTIFIED)","30-NOV-1999"
"274","N","ADMINISTRATIVE CHANGE","15-JAN-1999"
"274","N","MARKETED (NOTIFIED)","31-DEC-1955"
"287","Y","MARKETED (NOTIFIED)","12-AUG-2013"
"287","N","NOC ISSUED","26-MAR-2012"
"287","N","ADMINISTRATIVE CHANGE","22-FEB-2012"
"287","N","MARKETED (NOTIFIED)","31-OCT-2008"
"287","N","NOC ISSUED","06-SEP-2007"
"287","N","ADMINISTRATIVE CHANGE","15-AUG-2007"
"287","N","MARKETED (NOTIFIED)","28-MAR-2006"
"287","N","NOC ISSUED","17-JUN-2005"
"287","N","ADMINISTRATIVE CHANGE","14-JUN-2005"
"287","N","MARKETED (NOTIFIED)","31-DEC-1964"
"290","Y","MARKETED (NOTIFIED)","26-NOV-2011"
"290","N","ADMINISTRATIVE CHANGE","25-NOV-2011"
"290","N","MARKETED (NOTIFIED)","31-DEC-1966"
"295","Y","MARKETED (NOTIFIED)","31-DEC-1966"
"316","Y","MARKETED (NOTIFIED)","25-MAY-2007"
"316","N","NOC ISSUED","17-AUG-2005"
"316","N","ADMINISTRATIVE CHANGE","03-AUG-2005"
"316","N","MARKETED (NOTIFIED)","31-DEC-1956"
"354","Y","MARKETED (NOTIFIED)","01-AUG-2012"
"354","N","NOC ISSUED","15-FEB-2011"
"354","N","ADMINISTRATIVE CHANGE","25-JAN-2011"
